"name","active","priority"
"Eng	234
","TRUE",1
"Eng	306
","TRUE",1
"Eng	307
","TRUE",1
"Eng	334
","TRUE",1
"Eng	335
","TRUE",1
"Eng	336
","TRUE",1
"Eng	403
","TRUE",1
"Eng	404
","TRUE",1
"Eng	405
","TRUE",1
"Eng	406
","TRUE",1
"Eng	431
","TRUE",1
"Eng	432
","TRUE",1
"Eng	433
","TRUE",1
"Eng	604
","TRUE",1
"Eng	605
","TRUE",1
"Eng	606
","TRUE",1
"Law	108
","TRUE",1
"Law	303
","TRUE",1
"Law	304
","TRUE",1
"Law	305
","TRUE",1
"Law	401
","TRUE",1
"Law	402
","TRUE",1
"Law	404
","TRUE",1
"Law	405
","TRUE",1
"Law	406
","TRUE",1
"Law	407
","TRUE",1
"Law	503
","TRUE",1
"Law	504
","TRUE",1
"Law	505
","TRUE",1
"Law	506
","TRUE",1
"Law	701
","TRUE",1
"Law	702
","TRUE",1
"Law	703
","TRUE",1
"Law	801
","TRUE",1
"Law	802
","TRUE",1
"Law	803
","TRUE",1
"Law	804
","TRUE",1
"Law	805
","TRUE",1
"Lib	201
","TRUE",1
"Lib	202
","TRUE",1
"Lib	203
","TRUE",1
"Lib	301
","TRUE",1
"Lib	302
","TRUE",1
"Lib	303
","TRUE",1
"Lib	304
","TRUE",1
"Lib	509
","TRUE",1
"Lib	510
","TRUE",1
"Lib	511
","TRUE",1
"Lib	607
","TRUE",1
"Lib	608
","TRUE",1
"Lib	609
","TRUE",1
"Lib	706
","TRUE",1
"Lib	707
","TRUE",1
"Lib	716
","TRUE",1
"Lib	717
","TRUE",1
"Lib	718
","TRUE",1
"Lib	719
","TRUE",1
"Lib	737
","TRUE",1
"Lib	814
","TRUE",1
"Lib	815
","TRUE",1
"Lib	816
","TRUE",1
"Lib	817
","TRUE",1
"Lib	818
","TRUE",1
"Lib 819","TRUE",1
