"code","name"
"ABAC","Assumption University of Thailand"
"AdDU","Ateneo de Davao University"
"ATENEO","Ateneo de Manila University"
"BINUS","Binus University"
"BIPEDS","Binus International University"
"BJUT","Beijing University of Technology"
"BLCU","Beijing Language and Culture University"
"BRACU","BRAC University"
"CAU","Chung-Ang University"
"CFS ","Centre for Foundation Studies International Islamic University of Malaysia"
"CU ","Chulalongkorn University"
"DLS-CSB","De La Salle - College Of Saint Benilde"
"DLSU","De La Salle University"
"EWHA","Ewha Woman's University"
"HIT-U","Hitotsubashi University"
"IBA-DU","Institute of Business Administration, University of Dhaka"
"ICU","International Christian University"
"IITB","Indian Institute of Technology, Bombay"
"IIUM","International Islamic University Malaysia"
"IND","INDEPENDENT"
"IND AZR","Azrul Izzam"
"IND MSJS","IND MS"
"IND ZB","ZHENG Bo"
"IND-AK","IND-AK"
"IND-AL","Abel Lam"
"IND-AS","IND-AS"
"IND-CC","Carlo Cabrera"
"IND-KS","Karthik Sivaram"
"IND-Paki","Imran 'Paki' Khan"
"IND-TJ","IND-THEPPARITH"
"IPB","Bogor Agricultural University"
"IUT","Islamic University of Technology"
"JESUS","Jesus Falcis - Subsidized Judge"
"KDU","KDU University College"
"KLIUC","Kuala Lumpur Infrastructure University College"
"Kyoto","Kyoto University"
"LPU","Lyceum of the Philippines University- Manila"
"LSE","Lahore School of Economics"
"MMUM","Multimedia University Melaka"
"MSRIT","M. S. Ramaiah Institute of Technology"
"NLIU","National Law Institute University, Bhopal"
"NLSIU","National Law School of India University"
"NTU","Nanyang Technological University"
"NUS","National University of Singapore"
"SAID","Society for Associated Inter-Tertiary Debaters"
"SMU","Singapore Management University"
"SolBridge","SolBridge International School of Business"
"SZU","Shenzhen University"
"THU","Tsinghua University"
"Tokyo","The University of Tokyo"
"UIU","UNITED INTERNATIONAL UNIVERSITY"
"UKM","Universiti Kebangsaan Malaysia"
"UM","University of Malaya"
"UMAC","University of Macau"
"Unimas","Universiti Malaysia Sarawak"
"UNPAD","Universitas Padjadjaran"
"UNPAR","Parahyangan Catholic University"
"UPD","University of the Philippines - Diliman"
"UPLB","University of the Philippines Los Banos"
"UPM","University of the Philippines Manila"
"UT MARA","Universiti Teknologi MARA"
"WAD","Waseda University"
"XU","Xavier University"
