"team-name","name"
"ABAC A","Sajal Pradhan"
"ABAC A","Shayan Amin"
"ABAC A","Kaisara Kaisara"
"AdDU A","Emiko Antonette Tiu Escovilla"
"AdDU A","Joseph Daniel Hernandez Jalotjot"
"AdDU A","Ayana Ysabel Liva Gutierrez"
"ATENEO A","Allan Cabrera"
"ATENEO A","JOB DE LEON"
"ATENEO A","PETER POON"
"ATENEO B","ISLA DARYL L"
"ATENEO B","BAS CLAUDIO"
"ATENEO B","DWIGHT TAN"
"ATENEO C","NICOLO"
"ATENEO C","ANDREA BERNARTE"
"ATENEO C","LIANE AQUINO"
"BINUS A","Rivera Kathrin Windra"
"BINUS A","Cassandra Etania Liem"
"BINUS A","Raden Radite Ajie Pamungkas"
"BIPEDS A","Invi Atmanegara "
"BIPEDS A","Jaran Walia"
"BIPEDS A","Caroline Herlina"
"BIPEDS B","Andrew Wisnu Sadeli"
"BIPEDS B","Felicia Novina"
"BIPEDS B","Melisa Irene"
"BIPEDS C","Shabrina Nabila Nugroho "
"BIPEDS C","Andrianto Khiputra "
"BIPEDS C","Revvo Kasman"
"BJUT A","Liu Di"
"BJUT A","Cui Hao"
"BJUT A","Zhu Yan"
"BLCU A","Chen Manting"
"BLCU A","Luo Yundi"
"BLCU A","Kang Xiaoke"
"BRACU A","Aaqib Farhan Hossain"
"BRACU A","Ratib Mortuza Ali"
"BRACU A","Gulsetyne Ahmed"
"BRACU B","Arghya Dev Biswas Aryan"
"BRACU B","Farhaan Uddin Ahmed"
"BRACU B","Shannon Sherwin Moreino"
"CAU A","Seung-Hwan Hong"
"CAU A","Taeyeong Kim"
"CAU A","Nam-Chul Kim"
"CFS  A","Ameera Natasha Moore"
"CFS  A","Zim Ahmadi"
"CFS  A","Audi"
"CFS  B","Amshar Aziz"
"CFS  B","Aisyah Ramli"
"CFS  B","Suhail Samsudin"
"CU  A","Arpaporn Tangkrisanakajorn"
"CU  A","Mika Apichatsakol"
"CU  A","Ploy Booasang"
"CU  B","Nuanpan Ketumarn"
"CU  B","Tidarat Yingcharoen"
"CU  B","Yuttana Saisangkagomon"
"CU  C","Motoki Luxmiwattana"
"CU  C","Thatchpon Petchvra"
"CU  C","nattapon sakulwacharayothin"
"DLS-CSB A","Avianna Castano"
"DLS-CSB A","Yuuri Alcala"
"DLS-CSB A","Sachiko Numano"
"DLSU A","Paolo Rafael Franco"
"DLSU A","Mark Joseph de los Santos Escay"
"DLSU A","Paulo Roberto G. Santiago"
"DLSU B","Angelo Niño Bolaños Gutierrez,"
