"institution-code","name","active","swing"
"ABAC","ABAC A","TRUE","FALSE"
"AdDU","AdDU A","TRUE","FALSE"
"ATENEO","ATENEO A","TRUE","FALSE"
"ATENEO","ATENEO B","TRUE","FALSE"
"ATENEO","ATENEO C","TRUE","FALSE"
"BINUS","BINUS A","TRUE","FALSE"
"BIPEDS","BIPEDS A","TRUE","FALSE"
"BIPEDS","BIPEDS B","TRUE","FALSE"
"BIPEDS","BIPEDS C","TRUE","FALSE"
"BJUT","BJUT A","TRUE","FALSE"
"BLCU","BLCU A","TRUE","FALSE"
"BRACU","BRACU A","TRUE","FALSE"
"BRACU","BRACU B","TRUE","FALSE"
"CAU","CAU A","TRUE","FALSE"
"CFS ","CFS  A","TRUE","FALSE"
"CFS ","CFS  B","TRUE","FALSE"
"CU ","CU  A","TRUE","FALSE"
"CU ","CU  B","TRUE","FALSE"
"CU ","CU  C","TRUE","FALSE"
"DLS-CSB","DLS-CSB A","TRUE","FALSE"
"DLSU","DLSU A","TRUE","FALSE"
"DLSU","DLSU B","TRUE","FALSE"
"DLSU","DLSU C","TRUE","FALSE"
"EWHA","EWHA A","TRUE","FALSE"
"EWHA","EWHA B","TRUE","FALSE"
"EWHA","EWHA C","TRUE","FALSE"
"HIT-U","HIT-U A","TRUE","FALSE"
"HIT-U","HIT-U B","TRUE","FALSE"
"IBA-DU","IBA-DU A","TRUE","FALSE"
"IBA-DU","IBA-DU B","TRUE","FALSE"
"IBA-DU","IBA-DU C","TRUE","FALSE"
"ICU","ICU A","TRUE","FALSE"
"ICU","ICU B","TRUE","FALSE"
"IITB","IITB A","TRUE","FALSE"
"IIUM","IIUM A","TRUE","FALSE"
"IIUM","IIUM B","TRUE","FALSE"
"IIUM","IIUM C","TRUE","FALSE"
"IPB","IPB A","TRUE","FALSE"
"IUT","IUT A","TRUE","FALSE"
"KDU","KDU A","TRUE","FALSE"
"KLIUC","KLIUC A","TRUE","FALSE"
"KLIUC","KLIUC B","TRUE","FALSE"
"Kyoto","Kyoto A","TRUE","FALSE"
"LSE","LSE A","TRUE","FALSE"
"MMUM","MMUM A","TRUE","FALSE"
"MMUM","MMUM B","TRUE","FALSE"
"MSRIT","MSRIT A","TRUE","FALSE"
"MSRIT","MSRIT B","TRUE","FALSE"
"NLIU","NLIU A","TRUE","FALSE"
"NLSIU","NLSIU A","TRUE","FALSE"
"NTU","NTU A","TRUE","FALSE"
"NTU","NTU B","TRUE","FALSE"
"NTU","NTU C","TRUE","FALSE"
"NTU","NTU D","TRUE","FALSE"
"NUS","NUS A","TRUE","FALSE"
"NUS","NUS B","TRUE","FALSE"
"NUS","NUS C","TRUE","FALSE"
"SMU","SMU A","TRUE","FALSE"
"SolBridge","SolBridge A","TRUE","FALSE"
"SZU","SZU A","TRUE","FALSE"
"SZU","SZU B","TRUE","FALSE"
"THU","THU A","TRUE","FALSE"
"Tokyo","Tokyo A","TRUE","FALSE"
"Tokyo","Tokyo B","TRUE","FALSE"
"UIU","UIU A","TRUE","FALSE"
"UIU","UIU B","TRUE","FALSE"
"UKM","UKM A","TRUE","FALSE"
"UKM","UKM B","TRUE","FALSE"
"UM","UM A","TRUE","FALSE"
"UMAC","UMAC A","TRUE","FALSE"
"UMAC","UMAC B","TRUE","FALSE"
"Unimas","Unimas A","TRUE","FALSE"
"UNPAD","UNPAD A","TRUE","FALSE"
"UNPAR","UNPAR A","TRUE","FALSE"
"UPD","UPD A","TRUE","FALSE"
"UPD","UPD B","TRUE","FALSE"
"UPLB","UPLB A","TRUE","FALSE"
"UPM","UPM A","TRUE","FALSE"
"UPM","UPM B","TRUE","FALSE"
"UT MARA","UT MARA A","TRUE","FALSE"
"UT MARA","UT MARA B","TRUE","FALSE"
"UT MARA","UT MARA C","TRUE","FALSE"
"UT MARA","UT MARA D","TRUE","FALSE"
"UT MARA","UT MARA E","TRUE","FALSE"
"WAD","WAD A","TRUE","FALSE"
"WAD","WAD B","TRUE","FALSE"
"XU","XU A","TRUE","FALSE"
"XU","XU B","TRUE","FALSE"
