"team-name","name"
"ADS 1","Bomi Kwag"
"ADS 1","Young Hee Kim"
"ADS 1","Eun Young Lee"
"ANU 1","Andrew Kirk"
"ANU 1","Hannah Faye Albarece"
"ANU 1","John Goldie"
"ANU 2","Richard Dean Keys"
"ANU 2","Sarah Emily Rodrigues"
"ANU 2","Yasmin Masri"
"ATENEO 1","Shiveena  Parmanand"
"ATENEO 1","Ely Zosa"
"ATENEO 1","Cecile Gotamco"
"ATENEO 2","Allan Cabrera"
"ATENEO 2","DL Laraya Isla"
"ATENEO 2","Joseph Benjamin B. de Leon"
"ATENEO 3","Peterson Poon"
"ATENEO 3","Andrea Bernarte"
"ATENEO 3","Paulina Blanca Guerta Robles"
"AUCKLAND 1","Stephanie Thompson"
"AUCKLAND 1","Joshua Baxter"
"AUCKLAND 1","Aria Newfield"
"AUCKLAND 2","Nupur Upadhyay"
"AUCKLAND 2","Hamish Saunders"
"AUCKLAND 2","Jessica Storey"
"AUCKLAND 3","Alex Chi Kit Chiu"
"AUCKLAND 3","Colin James Ballantine"
"AUCKLAND 3","Adeel Malik"
"BANDUNG 1","Aryani Atmosudirdjo"
"BANDUNG 1","Diedra Putri Hapsari"
"BANDUNG 1","Gladys Brigita"
"BIPEDS 1","Astrio Feligent"
"BIPEDS 1","Christian Leonardo Harlianto"
"BIPEDS 1","Invi Atmanegara"
"CANTERBURY 1","Lottie Boardman"
"CANTERBURY 1","Tom O'Brien"
"CANTERBURY 1","Jeremy Bell-Connell"
"CAU1","Taeyeong Kim"
"CAU1","Yeeun Kim"
"CAU1","Won Joon Lee"
"CAU2","Yunhee Koo"
"CAU2","Soo Min Park"
"CAU2","Sesik Han"
"CUHK 1","Tse Pui Kei"
"CUHK 1","Chan Kai Yui Samuel"
"CUHK 1","Lam Fong Tat James"
"DAE 1","Eunjoo Jun"
"DAE 1","Jisook Kang"
"DAE 1","Kim Hyo Cheon"
"DAE 2","Jeehye Yang"
"DAE 2","Sarah Kwon"
"DAE 2","Hyunsoo Shim"
"DAE 3","Heyu Kim"
"DAE 3","Hong, Eun Jeong"
"DAE 3","Jang Youjin"
"DHAKA 1","Avia Nahreen"
"DHAKA 1","Raiha Nawal"
"DHAKA 1","Refaya Rashmin"
"DLSU 1","Paulo Santiago"
"DLSU 1","Julian Bautista"
"DLSU 1","Kurt See"
"DLSU 2","Joe Rigodon"
"DLSU 2","Bryan Chua"
"DLSU 2","Mark Chiu"
"DLSU 3","Crystal Francisco"
"DLSU 3","Muriel Fang"
"DLSU 3","Karla Yu"
"EDiS 1","Hannah Jung"
"EDiS 1","Heejin An"
"EDiS 1","Hyewon Lee"
"EDiS 2","Mina Lee"
"EDiS 2","Moon Young Park"
"EDiS 2","Yirey Suh"
"EDiS 3","Ji Yoon Son"
"EDiS 3","Jihye Park"
"EDiS 3","Seoyoung Lee"
"FUDAN 1","Wang Biyu"
"FUDAN 1","Shang Qian"
"FUDAN 1","Huang Ruijin"
"HELP 1","Giselle Soosay Nathan"
"HELP 1","Kailaish Kumar A/L Karupiah"
"HELP 1","Teoh Gaik Ling Adelyn"
"HONG KONG 1","Benjamin Yu Fai So"
"HONG KONG 1","Chong Fok Ching Fiona"
"HONG KONG 1","Abel Lam"
"HYDS1","Seungjoon Alex Park"
"HYDS1","Jinsung Lee"
"HYDS1","See Kyeong Kim"
"ICU 1","Hideto Sakurai"
"ICU 1","Keita Takayanagi"
"ICU 1","Miyuki Orito"
"ICU 2","Kohei Arakawa"
"ICU 2","Kohki Sasaki"
"ICU 2","Waka Ishikawa"
"ICU 3","Kyohei Naruse"
"ICU 3","Sei Takizawa"
"ICU 3","Yoko Hanaki"
"IIUM 1","Arinah Najwa Ahmad Said"
"IIUM 1","Seuad Hadrovic"
"IIUM 1","Wan Nor Sarah Binti Wan Shahriman"
"IIUM 2","Khadijah Shamsul"
"IIUM 2","Sheikhmuhammad Faizal Shah"
"IIUM 2","Md.Masudur Rahman Abir"
"KOREA 1","Sarah Yoo"
"KOREA 1","Donghee Chae"
"KOREA 1","Haneul Lee"
"KOREA 2","Jaeyong Shin"
"KOREA 2","Minyoung Kim"
"KOREA 2","Seth Jeesoo Kang"
"KOREA 3","Gilman Ahn"
"KOREA 3","Hyewon Kang"
"KOREA 3","Kang, Seok Jun"
"KYUNG HEE 1","Euiyun Kim"
"KYUNG HEE 1","JyaHyun Lee"
"KYUNG HEE 1","Kim Mikyong"
"KYUNG HEE 2","Doo Ri Hong"
"KYUNG HEE 2","Dave ilhwan hwang"
"KYUNG HEE 2","Dongyeop Lee"
"KYUNG HEE 3","Yeon Kyeong Park"
"KYUNG HEE 3","Minkee Yoon"
"KYUNG HEE 3","Hyoseon Lee"
"MACAO POLY1","FAN CHAOYI"
"MACAO POLY1","Wang Yuhui"
"MACAO POLY1","Wang Huanjiao"
"MACQUARIE 1","Daniel Dummer"
"MACQUARIE 1","Lachlan Umbers"
"MACQUARIE 1","Amy Van de Ruit"
"MACQUARIE 2","Luke Verduci"
"MACQUARIE 2","Sarah Dagg"
"MACQUARIE 2","Benjamin Roe"
"MACQUARIE 3","Timothy Lou"
"MACQUARIE 3","Elysse Lloyd"
"MACQUARIE 3","Ryan Thalari"
"MACQUARIE 4","Sam Bradshaw"
"MACQUARIE 4","Alborz Yaloui"
"MACQUARIE 4","James Lowrey"
"MALAYA 1","rebecca ow phui san"
"MALAYA 1","Tharishni Arumugam"
"MALAYA 1","Lavania Jeevabala a/p Balasingam"
"MELBOURNE 1","Tim Blair"
"MELBOURNE 1","Daniel John Golder"
"MELBOURNE 1","Michael Ciesielski"
"MELBOURNE 2","James Hutauruk"
"MELBOURNE 2","Ming Kang Chen"
"MELBOURNE 2","Hamish John Williamson"
"MELBOURNE 3","Rebecca Hibbard"
"MELBOURNE 3","Christina Lee"
"MELBOURNE 3","Speaker"
"MELBOURNE 4","Stephanie Sandford"
"MELBOURNE 4","Philip Hilton"
"MELBOURNE 4","James Gray"
"MELBOURNE 5","Daniel Tram"
"MELBOURNE 5","Lachlan Michael Rule"
"MELBOURNE 5","Alice Boer-Endacott"
"MMU 1","Sarah Bootz Dickman"
"MMU 1","Alireza Chitsaz"
"MMU 1","Arisha Alexxx Arifin"
"MMUM 1","Sherilyn Ooi Su Ying"
"MMUM 1","Diane Maretele"
"MMUM 1","Emmanuel KS"
"MMUM 2","Sagesegaran Naidu"
"MMUM 2","Uyapo Machacha"
"MMUM 2","Dzulfadhli Bin Lamin"
"MONASH 1","Madeline Schultz"
"MONASH 1","Gemma Buckley"
"MONASH 1","Chris Bisset"
"MONASH 2","Nicole Franklin"
"MONASH 2","James Beavis"
"MONASH 2","Sasha Lytas"
"MONASH 3","Allan Quanchi"
"MONASH 3","Duncan Wallace"
"MONASH 3","Finlay Gustus"
"MONASH 4","Luke Daniel McGreevy"
"MONASH 4","Timothy Whiting"
"MONASH 4","Ashleigh Feurtado"
"MONASH 5","Nisha Dutta"
"MONASH 5","Rebecca Irvine"
"MONASH 5","Stephen Moore"
"MONASH 6","Joshua Goodwill"
"MONASH 6","Bec Lew"
"MONASH 6","Sam Whitney"
"NTU 1","Sneha Gururaj"
"NTU 1","Anjalika Singh"
"NTU 1","Rohit Gadre"
"NTU 2","Manik Jain"
"NTU 2","Prashanth Jayaraman"
"NTU 2","Madhura Satish Bhave"
"NTU 3","Vihasini Gopakumar"
"NTU 3","Yan An"
"NTU 3","Dhruv Bindal"
"NUS 1","Robin Teo"
"NUS 1","Sadhana Rai"
"NUS 1","Imran Rahim"
"NUS 2","Tan Lee Jing"
"NUS 2","FOO Jun Sheng (JS works just fine)"
"NUS 2","Kenneth Kang"
"NUS 3","Xiao Hongyu"
"NUS 3","Chua Junting"
"NUS 3","Danielle Goh"
"OTAGO 1","Paul Hunt"
"OTAGO 1","Kieran Bunn"
"OTAGO 1","Kurt Purdon"
"OTAGO 2","Nancy EL-Gamel"
"OTAGO 2","John Brinsley - Pirie"
"OTAGO 2","Danielle Rebecca Duffield"
"PEKING 1","Chen Siyi"
"PEKING 1","Gong Jingchao"
"PEKING 1","Fang Zhou"
"PUTRA 1","Wan Mohammad Shukri Wan Abdullah"
"PUTRA 1","Daniel Mohan Jacob"
"PUTRA 1","Nur Sabrina Binti Mohamed Zaini"
"QUEENSLAND 1","Alexander Ngoo"
"QUEENSLAND 1","Patrick Begley"
"QUEENSLAND 1","Anthony Smith"
"QUEENSLAND 2","Jessica Rusten"
"QUEENSLAND 2","Shyaam Raivadera"
"QUEENSLAND 2","Helena Obermair"
"SABAH 1","Jacob Mathan"
"SABAH 1","Stacey David"
"SABAH 1","Debra Moh Yinni"
"SING POLY 1","Adinda Ayu Savitri"
"SING POLY 1","Andrew Yuen"
"SING POLY 1","Gao Zhengkun"
"SMU 1","Urmila Mandapaka"
"SMU 1","Ang Ziqing"
"SMU 1","Vikramaditya Lakhotia"
"SNUDA 1","Joosoo Kim"
"SNUDA 1","Kang Hwan Kim"
"SNUDA 1","Junsung Park"
"SOLBRIDGE 1","Min Jae, Kim"
"SOLBRIDGE 1","Harah Jeon"
"SOLBRIDGE 1","JuSeung Yi"
"SOLBRIDGE 2","Seoyoon Lee"
"SOLBRIDGE 2","Young Jin Cho"
"SOLBRIDGE 2","Soan Jung"
"SYDNEY UNION 1","Eleanor Jones"
"SYDNEY UNION 1","Paul Karp"
"SYDNEY UNION 1","Daniel Swain"
"SYDNEY UNION 2","Robert Chiarella"
"SYDNEY UNION 2","Dominic Bowes"
"SYDNEY UNION 2","Edward Miller"
"SYDNEY UNION 3","Hugh Satterthwaite"
"SYDNEY UNION 3","Bebe D'Souza"
"SYDNEY UNION 3","Joanna Connolly"
"SYDNEY UNION 4","Nina Ubaldi"
"SYDNEY UNION 4","Michael Coutts"
"SYDNEY UNION 4","Eleanor Gordon-Smith"
"SYDNEY UNION 5","Tom Williamson"
"SYDNEY UNION 5","Joseph Ware"
"SYDNEY UNION 5","Antony Paul"
"SYDNEY UNION 6","Sam Molloy"
"SYDNEY UNION 6","Nicholas Andrew Chung"
"SYDNEY UNION 6","Bronte Lambourne"
"SYDNEY UNION 7","Christina White"
"SYDNEY UNION 7","Michael Koziol"
"SYDNEY UNION 7","Laura Wilde"
"TERENGGANU 1","NUR FARAH HANIM MD NOR"
"TERENGGANU 1","MUHAMMAD ASHRAF ABDUL RAHMAN"
"TERENGGANU 1","DURGAHYENI A/P MOHGANA SELVAM"
"THAMMASAT 1","Suthipat Chantrasawang"
"THAMMASAT 1","Pluemkoon Bualuang"
"THAMMASAT 1","Jananya Vanichanon"
"THAMMASAT 2","Pimnuch Panma"
"THAMMASAT 2","Thatee Diawpanich"
"THAMMASAT 2","Patsuda  Wipanan"
"TOKYO METRO 1","Anna Ohtake"
"TOKYO METRO 1","Hiroaki Takahashi"
"TOKYO METRO 1","Shun Otsuzumi"
"TWEDS 1","Hsieh, Wen-Yuan"
"TWEDS 1","Chang Wei-che"
"TWEDS 1","LEE, SHU-HUI"
"TWEDS 2","Lee, An-Na"
"TWEDS 2","HUANG, CHING-CHIEN"
"TWEDS 2","Chang Tsai Feng"
"UI 1","Riza Aryani"
"UI 1","Dimas Hokka Pratama"
"UI 1","Muhammad Subarkah Syafruddin"
"UMAC 1","Alex Lam Chi-un"
"UMAC 1","NEED TO KNOW"
"UMAC 1","Chen Huaming"
