"institution-code","name","active","swing"
"ADS","ADS 1","TRUE","FALSE"
"ANU","ANU 1","TRUE","FALSE"
"ANU","ANU 2","TRUE","FALSE"
"ATENEO","ATENEO 1","TRUE","FALSE"
"ATENEO","ATENEO 2","TRUE","FALSE"
"ATENEO","ATENEO 3","TRUE","FALSE"
"AUCKLAND","AUCKLAND 1","TRUE","FALSE"
"AUCKLAND","AUCKLAND 2","TRUE","FALSE"
"AUCKLAND","AUCKLAND 3","TRUE","FALSE"
"BANDUNG","BANDUNG 1","TRUE","FALSE"
"BIPEDS","BIPEDS 1","TRUE","FALSE"
"CANTERBURY","CANTERBURY 1","TRUE","FALSE"
"CAU","CAU1","TRUE","FALSE"
"CAU","CAU2","TRUE","FALSE"
"CUHK","CUHK 1","TRUE","FALSE"
"DAE","DAE 1","TRUE","FALSE"
"DAE","DAE 2","TRUE","FALSE"
"DAE","DAE 3","TRUE","FALSE"
"DHAKA","DHAKA 1","TRUE","FALSE"
"DLSU","DLSU 1","TRUE","FALSE"
"DLSU","DLSU 2","TRUE","FALSE"
"DLSU","DLSU 3","TRUE","FALSE"
"EDiS","EDiS 1","TRUE","FALSE"
"EDiS","EDiS 2","TRUE","FALSE"
"EDiS","EDiS 3","TRUE","FALSE"
"FUDAN","FUDAN 1","TRUE","FALSE"
"HELP","HELP 1","TRUE","FALSE"
"HONG KONG","HONG KONG 1","TRUE","FALSE"
"HYDS","HYDS1","TRUE","FALSE"
"ICU","ICU 1","TRUE","FALSE"
"ICU","ICU 2","TRUE","FALSE"
"ICU","ICU 3","TRUE","FALSE"
"IIUM","IIUM 1","TRUE","FALSE"
"IIUM","IIUM 2","TRUE","FALSE"
"KOREA","KOREA 1","TRUE","FALSE"
"KOREA","KOREA 2","TRUE","FALSE"
"KOREA","KOREA 3","TRUE","FALSE"
"KYUNG HEE","KYUNG HEE 1","TRUE","FALSE"
"KYUNG HEE","KYUNG HEE 2","TRUE","FALSE"
"KYUNG HEE","KYUNG HEE 3","TRUE","FALSE"
"MACAO POLY","MACAO POLY1","TRUE","FALSE"
